,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
0,1,Precious Achiuwa,PF-C,24,TOT,63,1432,14.9,.547,.215,.234,12.8,19.7,16.2,8.9,1.5,3.9,13.4,16.1,1.1,2.0,3.2,.106,-1.5,0.5,-1.0,0.4,2024
1,1,Precious Achiuwa,C,24,TOR,25,437,14.9,.512,.276,.247,12.3,22.0,17.1,14.3,1.8,2.4,13.3,21.2,0.0,0.5,0.5,.052,-1.5,-0.1,-1.6,0.0,2024
2,1,Precious Achiuwa,PF,24,NYK,38,995,14.8,.570,.174,.225,13.0,18.6,15.8,6.5,1.3,4.5,13.4,13.9,1.1,1.6,2.7,.129,-1.6,0.8,-0.8,0.3,2024
3,2,Bam Adebayo,C,26,MIA,60,2060,19.9,.572,.025,.397,7.5,27.9,17.6,18.8,1.6,2.8,11.8,25.3,2.3,3.6,6.0,.139,0.7,1.6,2.3,2.2,2024
4,3,Ochai Agbaji,SG,23,TOT,70,1421,7.9,.504,.516,.109,4.8,9.7,7.3,6.5,1.4,2.3,11.8,13.5,-0.4,0.6,0.3,.009,-3.3,-0.9,-4.2,-0.8,2024
5,3,Ochai Agbaji,SG,23,UTA,51,1003,8.1,.531,.570,.080,3.9,9.9,6.9,6.1,1.3,2.6,11.7,12.1,0.1,0.4,0.4,.021,-2.6,-0.5,-3.0,-0.3,2024
6,3,Ochai Agbaji,SG,23,TOR,19,418,7.5,.456,.415,.163,6.9,9.4,8.1,7.6,1.6,1.7,12.1,16.8,-0.4,0.2,-0.2,-0.021,-5.1,-1.8,-6.9,-0.5,2024
7,4,Santi Aldama,PF,23,MEM,58,1536,13.2,.540,.528,.157,4.8,19.8,12.0,13.6,1.3,2.8,10.3,18.6,0.3,2.0,2.2,.069,-0.6,0.5,-0.1,0.7,2024
8,5,Nickeil Alexander-Walker,SG,25,MIN,71,1678,10.5,.570,.622,.122,2.3,7.4,5.0,14.6,1.6,2.0,12.2,14.2,1.1,2.6,3.7,.106,-1.4,1.5,0.2,0.9,2024
9,6,Grayson Allen,SG,28,PHO,65,2189,13.9,.698,.659,.218,2.1,10.0,6.3,12.3,1.3,1.7,11.7,14.1,4.4,1.7,6.1,.135,1.3,0.1,1.3,1.8,2024
10,7,Jarrett Allen,C,25,CLE,66,2088,21.5,.659,.007,.408,11.6,25.9,18.8,12.9,1.1,3.2,11.7,19.4,5.6,3.6,9.2,.212,1.8,1.2,3.0,2.7,2024
