,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Precious Achiuwa,PF-C,24,TOT,63,18,22.7,3.4,6.7,.501,0.4,1.4,.275,3.0,5.3,.563,.531,1.0,1.6,.616,2.7,4.0,6.7,1.4,0.7,1.0,1.1,1.9,8.1,2024
1,1,Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7,2024
2,1,Precious Achiuwa,PF,24,NYK,38,18,26.2,3.5,6.7,.530,0.3,1.2,.273,3.2,5.5,.584,.553,1.0,1.5,.649,3.1,4.4,7.4,1.2,0.7,1.3,1.1,2.1,8.3,2024
3,2,Bam Adebayo,C,26,MIA,60,60,34.3,7.6,14.6,.519,0.1,0.4,.318,7.5,14.3,.524,.523,4.4,5.8,.753,2.3,8.4,10.7,3.9,1.1,1.0,2.3,2.3,19.7,2024
4,3,Ochai Agbaji,SG,23,TOT,70,21,20.3,2.3,5.5,.414,0.9,2.8,.303,1.4,2.7,.532,.492,0.4,0.6,.667,0.9,1.8,2.7,1.0,0.6,0.5,0.8,1.4,5.8,2024
5,3,Ochai Agbaji,SG,23,UTA,51,10,19.7,2.1,4.9,.426,0.9,2.8,.331,1.2,2.1,.551,.520,0.3,0.4,.750,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4,2024
6,3,Ochai Agbaji,SG,23,TOR,19,11,22.0,2.8,7.1,.393,0.7,2.9,.232,2.1,4.2,.506,.441,0.7,1.2,.591,1.4,1.8,3.3,1.3,0.7,0.4,1.1,1.8,6.9,2024
7,4,Santi Aldama,PF,23,MEM,58,32,26.5,4.2,9.6,.436,1.8,5.1,.352,2.4,4.5,.531,.529,0.9,1.5,.621,1.2,4.6,5.8,2.3,0.7,0.8,1.2,1.4,11.1,2024
8,5,Nickeil Alexander-Walker,SG,25,MIN,71,19,23.6,2.7,6.3,.433,1.5,3.9,.382,1.2,2.4,.518,.552,0.6,0.8,.800,0.5,1.6,2.1,2.5,0.8,0.5,0.9,1.8,7.6,2024
9,6,Grayson Allen,SG,28,PHO,65,65,33.7,4.5,8.9,.510,2.8,5.8,.482,1.7,3.0,.563,.668,1.7,1.9,.889,0.6,3.2,3.8,3.1,0.9,0.6,1.3,2.2,13.6,2024
10,7,Jarrett Allen,C,25,CLE,66,66,31.6,6.5,10.4,.625,0.0,0.1,.000,6.5,10.3,.630,.625,3.2,4.3,.744,3.2,7.5,10.7,2.7,0.7,1.2,1.6,2.0,16.2,2024
11,8,Jose Alvarado,PG,25,NOP,50,0,17.8,2.5,6.0,.407,1.3,3.4,.372,1.2,2.6,.454,.513,0.7,1.0,.680,0.4,1.8,2.2,2.1,1.1,0.3,0.8,1.5,6.9,2024
12,9,Kyle Anderson,PF,30,MIN,68,10,22.9,2.6,5.5,.468,0.1,0.6,.225,2.4,4.9,.497,.480,1.3,1.8,.711,0.8,2.8,3.6,4.2,0.9,0.5,1.2,1.6,6.5,2024
13,10,Giannis Antetokounmpo,PF,29,MIL,66,66,35.0,11.4,18.6,.616,0.5,1.7,.296,10.9,16.8,.649,.629,7.3,11.0,.664,2.6,8.7,11.3,6.4,1.2,1.0,3.4,2.9,30.7,2024
14,11,Thanasis Antetokounmpo,PF,31,MIL,29,0,4.7,0.4,0.9,.500,0.0,0.0,.000,0.4,0.9,.520,.500,0.0,0.1,.000,0.2,0.2,0.4,0.5,0.2,0.1,0.4,0.8,0.9,2024
15,12,Cole Anthony,PG,23,ORL,70,0,23.0,4.1,9.5,.434,1.1,3.3,.321,3.0,6.1,.497,.491,2.4,3.0,.821,0.9,3.1,4.0,3.0,0.8,0.5,1.6,2.3,11.7,2024
16,13,OG Anunoby,SF,26,TOT,44,44,34.0,5.7,11.5,.492,2.0,5.5,.371,3.7,6.1,.601,.580,1.5,2.0,.767,1.0,3.4,4.3,2.3,1.3,0.7,1.6,2.3,14.9,2024
17,13,OG Anunoby,SF,26,TOR,27,27,33.3,5.8,11.9,.489,2.3,6.0,.374,3.6,5.9,.608,.584,1.2,1.7,.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1,2024
18,13,OG Anunoby,SF,26,NYK,17,17,35.2,5.5,11.0,.497,1.6,4.5,.364,3.8,6.5,.591,.572,1.9,2.4,.825,1.1,3.9,4.9,1.6,1.7,1.1,1.6,2.4,14.5,2024
19,14,Ryan Arcidiacono,PG,29,NYK,20,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.3,0.0,2024
20,15,Deni Avdija,SF,23,WAS,65,65,29.2,5.3,10.4,.509,1.2,3.0,.392,4.1,7.4,.556,.565,2.4,3.3,.726,1.2,5.8,7.0,3.7,0.8,0.4,2.0,2.5,14.2,2024
21,16,Deandre Ayton,C,25,POR,47,47,32.3,7.3,12.6,.580,0.0,0.1,.333,7.3,12.5,.581,.581,1.2,1.5,.812,3.2,7.9,11.1,1.6,1.0,0.8,1.8,2.1,15.8,2024
22,17,Udoka Azubuike,C,24,PHO,14,0,7.6,1.1,1.6,.727,0.0,0.0,,1.1,1.6,.727,.727,0.2,0.8,.273,0.8,1.5,2.3,0.2,0.1,0.4,0.3,1.2,2.5,2024
23,18,Ibou Badji,C,21,POR,19,1,10.8,0.6,1.0,.632,0.0,0.0,,0.6,1.0,.632,.632,0.3,0.5,.500,1.0,1.5,2.5,0.7,0.1,1.1,0.7,2.2,1.5,2024
24,19,Marvin Bagley III,C,24,TOT,45,22,21.1,4.7,8.2,.575,0.1,0.4,.316,4.6,7.7,.589,.583,2.0,2.7,.750,2.7,3.5,6.2,1.2,0.4,0.7,1.2,1.7,11.5,2024
25,19,Marvin Bagley III,C,24,DET,26,10,18.4,4.1,7.0,.591,0.0,0.2,.167,4.1,6.7,.606,.594,1.9,2.3,.820,1.8,2.8,4.5,1.0,0.2,0.5,1.1,1.5,10.2,2024
26,19,Marvin Bagley III,C,24,WAS,19,12,24.7,5.5,9.8,.559,0.3,0.7,.385,5.2,9.1,.572,.573,2.1,3.1,.678,4.0,4.5,8.5,1.4,0.6,0.8,1.3,1.9,13.3,2024
27,20,Amari Bailey,PG,19,CHO,6,0,4.3,0.5,1.7,.300,0.0,0.8,.000,0.5,0.8,.600,.300,0.2,0.3,.500,0.3,0.0,0.3,0.3,0.2,0.0,0.2,0.0,1.2,2024
28,21,Patrick Baldwin Jr.,SF,21,WAS,28,2,9.9,1.1,3.2,.356,0.6,1.9,.333,0.5,1.3,.389,.456,0.5,0.7,.684,0.4,2.2,2.6,0.6,0.3,0.4,0.4,1.1,3.4,2024
29,22,LaMelo Ball,PG,22,CHO,22,22,32.3,8.3,19.2,.433,3.2,9.0,.355,5.1,10.3,.500,.515,4.1,4.7,.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9,2024
30,23,Mo Bamba,C,25,PHI,49,12,13.0,1.7,3.4,.485,0.5,1.1,.426,1.2,2.3,.513,.554,0.5,0.8,.615,1.3,2.7,4.0,0.8,0.4,1.0,0.8,1.7,4.3,2024
31,24,Paolo Banchero,PF,21,ORL,69,69,34.8,8.1,17.4,.466,1.5,4.2,.365,6.6,13.2,.498,.510,4.9,6.9,.712,1.0,5.7,6.8,5.4,1.0,0.6,3.1,2.0,22.6,2024
32,25,Desmond Bane,SG,25,MEM,40,40,34.3,8.7,18.6,.464,3.3,8.6,.380,5.4,10.0,.538,.552,3.3,3.9,.864,0.9,3.6,4.5,5.3,1.0,0.6,2.6,2.8,23.9,2024
33,26,Dalano Banton,PG,24,TOT,44,8,15.8,2.8,6.8,.405,0.8,2.5,.330,1.9,4.3,.450,.467,1.4,1.8,.763,0.8,1.9,2.7,1.7,0.5,0.3,1.1,1.2,7.8,2024
34,26,Dalano Banton,PG,24,BOS,24,1,7.1,0.8,2.1,.373,0.1,0.7,.125,0.7,1.5,.486,.392,0.7,0.8,.800,0.5,1.0,1.5,0.8,0.2,0.1,0.4,0.8,2.3,2024
35,26,Dalano Banton,PG,24,POR,20,7,26.1,5.2,12.5,.412,1.8,4.8,.365,3.4,7.7,.442,.482,2.3,3.0,.750,1.1,3.1,4.2,2.7,0.8,0.5,1.9,1.7,14.3,2024
