,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
0,1,Precious Achiuwa,PF-C,24,TOT,69,1558,15.1,.549,.207,.246,13.9,21.4,17.6,8.5,1.5,3.9,13.5,16.2,1.3,2.1,3.4,.103,-1.6,0.3,-1.2,0.3,2024
1,1,Precious Achiuwa,C,24,TOR,25,437,15.0,.512,.276,.247,12.9,23.1,17.9,14.4,1.8,2.4,13.3,21.4,0.0,0.4,0.4,.045,-1.5,-0.2,-1.7,0.0,2024
2,1,Precious Achiuwa,PF,24,NYK,44,1121,15.1,.572,.165,.246,14.3,20.8,17.6,6.2,1.3,4.5,13.7,14.1,1.3,1.7,3.0,.126,-1.6,0.5,-1.1,0.3,2024
3,2,Bam Adebayo,C,26,MIA,65,2224,20.1,.574,.033,.393,7.7,29.2,18.3,19.1,1.7,2.7,12.0,25.4,2.5,4.0,6.5,.139,0.9,1.6,2.5,2.5,2024
4,3,Ochai Agbaji,SG,23,TOT,72,1457,8.0,.503,.505,.106,5.1,10.0,7.6,6.6,1.4,2.3,11.7,13.6,-0.4,0.6,0.2,.006,-3.3,-0.9,-4.2,-0.8,2024
5,3,Ochai Agbaji,SG,23,UTA,51,1003,8.1,.531,.570,.080,4.0,10.2,7.1,6.1,1.3,2.6,11.7,12.2,0.0,0.4,0.4,.019,-2.6,-0.5,-3.0,-0.3,2024
6,3,Ochai Agbaji,SG,23,TOR,21,454,7.8,.456,.395,.150,7.7,9.6,8.6,7.6,1.6,1.7,11.8,16.8,-0.4,0.2,-0.2,-0.025,-4.8,-1.9,-6.7,-0.5,2024
7,4,Santi Aldama,PF,23,MEM,61,1618,13.1,.539,.535,.153,4.8,20.3,12.3,13.3,1.3,3.1,10.2,18.0,0.3,2.0,2.3,.067,-0.8,0.4,-0.3,0.7,2024
8,5,Nickeil Alexander-Walker,SG,25,MIN,76,1783,10.6,.576,.629,.116,2.3,7.6,5.1,14.3,1.6,1.9,12.1,14.4,1.2,2.7,3.9,.105,-1.3,1.4,0.1,1.0,2024
9,6,Grayson Allen,SG,28,PHO,69,2318,13.7,.687,.654,.213,2.3,10.3,6.5,12.5,1.3,1.6,11.6,14.2,4.4,2.0,6.4,.132,1.1,0.0,1.1,1.8,2024
10,7,Jarrett Allen,C,25,CLE,72,2279,21.7,.663,.007,.393,12.0,26.9,19.6,13.2,1.1,3.0,11.2,19.6,6.2,3.6,9.9,.208,2.0,1.0,3.0,2.9,2024
11,8,Jose Alvarado,PG,25,NOP,51,908,12.6,.532,.576,.162,2.8,11.3,7.1,15.8,3.0,1.6,10.3,17.7,0.4,1.4,1.8,.094,-1.6,1.7,0.1,0.5,2024
12,9,Kyle Anderson,PF,30,MIN,73,1672,13.3,.528,.110,.328,4.4,13.8,9.4,25.5,1.9,2.2,15.7,14.4,1.6,3.0,4.6,.131,-1.1,2.8,1.7,1.6,2024
13,10,Giannis Antetokounmpo,PF,29,MIL,71,2500,29.9,.650,.092,.575,8.9,28.1,18.8,32.3,1.6,2.5,12.6,33.1,9.2,3.6,12.7,.245,6.7,2.4,9.1,7.0,2024
14,11,Thanasis Antetokounmpo,PF,31,MIL,29,136,4.2,.484,.038,.077,5.2,4.9,5.1,12.8,1.8,2.5,30.9,12.3,-0.2,0.1,-0.1,-0.029,-7.6,0.0,-7.7,-0.2,2024
15,12,Cole Anthony,PG,23,ORL,75,1708,14.9,.548,.366,.296,4.3,16.6,10.4,20.1,1.7,1.9,12.7,23.7,0.9,2.7,3.6,.102,-0.4,0.8,0.4,1.0,2024
16,13,OG Anunoby,SF,26,TOT,44,1498,13.1,.600,.472,.169,3.2,11.6,7.4,9.4,1.9,1.9,11.4,17.7,1.1,1.2,2.3,.074,-0.8,0.5,-0.3,0.6,2024
17,13,OG Anunoby,SF,26,TOR,27,900,12.6,.598,.508,.143,3.0,10.7,6.8,11.4,1.5,1.3,11.2,18.3,0.5,0.4,0.9,.049,-0.9,-0.7,-1.6,0.1,2024
18,13,OG Anunoby,SF,26,NYK,17,598,13.9,.604,.412,.214,3.5,13.1,8.3,6.5,2.5,2.8,11.7,16.8,0.5,0.9,1.4,.112,-0.7,2.3,1.6,0.6,2024
