,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Precious Achiuwa,PF-C,24,TOT,69,18,22.6,3.3,6.6,.505,0.4,1.4,.266,3.0,5.2,.568,.533,1.0,1.6,.616,2.7,4.1,6.8,1.4,0.7,1.0,1.1,2.0,8.0,2024
1,1,Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7,2024
2,1,Precious Achiuwa,PF,24,NYK,44,18,25.5,3.5,6.5,.533,0.3,1.1,.255,3.2,5.4,.588,.554,1.0,1.6,.643,3.1,4.5,7.6,1.1,0.7,1.2,1.1,2.2,8.2,2024
3,2,Bam Adebayo,C,26,MIA,65,65,34.2,7.6,14.6,.520,0.2,0.5,.355,7.4,14.1,.526,.526,4.3,5.7,.753,2.3,8.4,10.6,4.0,1.1,1.0,2.3,2.2,19.6,2024
4,3,Ochai Agbaji,SG,23,TOT,72,23,20.2,2.3,5.5,.414,0.8,2.8,.305,1.4,2.7,.526,.491,0.4,0.6,.667,0.9,1.8,2.7,1.0,0.6,0.5,0.8,1.4,5.8,2024
5,3,Ochai Agbaji,SG,23,UTA,51,10,19.7,2.1,4.9,.426,0.9,2.8,.331,1.2,2.1,.551,.520,0.3,0.4,.750,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4,2024
6,3,Ochai Agbaji,SG,23,TOR,21,13,21.6,2.8,7.0,.395,0.7,2.8,.241,2.1,4.2,.494,.442,0.6,1.0,.591,1.5,1.8,3.2,1.2,0.7,0.4,1.0,1.7,6.8,2024
7,4,Santi Aldama,PF,23,MEM,61,35,26.5,4.0,9.3,.435,1.7,5.0,.349,2.3,4.3,.534,.528,0.9,1.4,.621,1.2,4.6,5.8,2.3,0.7,0.9,1.1,1.5,10.7,2024
8,5,Nickeil Alexander-Walker,SG,25,MIN,76,20,23.5,2.8,6.3,.438,1.6,4.0,.389,1.2,2.4,.520,.560,0.6,0.7,.786,0.4,1.6,2.0,2.5,0.8,0.5,0.9,1.8,7.7,2024
9,6,Grayson Allen,SG,28,PHO,69,69,33.6,4.5,8.9,.505,2.7,5.8,.469,1.8,3.1,.573,.658,1.7,1.9,.878,0.6,3.2,3.8,3.1,0.9,0.6,1.3,2.1,13.4,2024
10,7,Jarrett Allen,C,25,CLE,72,72,31.7,6.7,10.6,.631,0.0,0.1,.000,6.7,10.5,.635,.631,3.1,4.2,.746,3.1,7.4,10.5,2.7,0.7,1.1,1.6,1.9,16.4,2024
11,8,Jose Alvarado,PG,25,NOP,51,0,17.8,2.5,6.1,.408,1.3,3.5,.371,1.2,2.6,.458,.515,0.7,1.0,.680,0.4,1.8,2.3,2.1,1.1,0.3,0.7,1.5,6.9,2024
12,9,Kyle Anderson,PF,30,MIN,73,10,22.9,2.6,5.5,.473,0.2,0.6,.250,2.4,4.9,.500,.486,1.3,1.8,.718,0.8,2.8,3.6,4.3,0.9,0.6,1.2,1.5,6.6,2024
13,10,Giannis Antetokounmpo,PF,29,MIL,71,71,35.2,11.5,18.8,.613,0.5,1.7,.276,11.1,17.1,.647,.626,7.1,10.8,.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.7,2024
14,11,Thanasis Antetokounmpo,PF,31,MIL,29,0,4.7,0.4,0.9,.500,0.0,0.0,.000,0.4,0.9,.520,.500,0.0,0.1,.000,0.2,0.2,0.4,0.5,0.2,0.1,0.4,0.8,0.9,2024
15,12,Cole Anthony,PG,23,ORL,75,0,22.8,4.1,9.5,.436,1.2,3.5,.341,3.0,6.0,.491,.499,2.3,2.8,.820,0.8,3.2,4.0,3.0,0.8,0.5,1.6,2.2,11.8,2024
16,13,OG Anunoby,SF,26,TOT,44,44,34.0,5.7,11.5,.492,2.0,5.5,.371,3.7,6.1,.601,.580,1.5,2.0,.767,1.0,3.4,4.3,2.3,1.3,0.7,1.6,2.3,14.9,2024
17,13,OG Anunoby,SF,26,TOR,27,27,33.3,5.8,11.9,.489,2.3,6.0,.374,3.6,5.9,.608,.584,1.2,1.7,.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1,2024
18,13,OG Anunoby,SF,26,NYK,17,17,35.2,5.5,11.0,.497,1.6,4.5,.364,3.8,6.5,.591,.572,1.9,2.4,.825,1.1,3.9,4.9,1.6,1.7,1.1,1.6,2.4,14.5,2024
19,14,Ryan Arcidiacono,PG,29,NYK,20,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.3,0.0,2024
20,15,Deni Avdija,SF,23,WAS,70,70,29.6,5.3,10.5,.507,1.2,3.0,.380,4.2,7.4,.559,.562,2.5,3.4,.735,1.2,5.9,7.1,3.8,0.8,0.4,2.1,2.5,14.3,2024
21,16,Deandre Ayton,C,25,POR,50,50,32.3,7.5,12.9,.578,0.0,0.1,.200,7.4,12.8,.581,.579,1.1,1.4,.812,3.2,7.9,11.1,1.6,0.9,0.8,1.8,2.1,16.1,2024
22,17,Udoka Azubuike,C,24,PHO,15,0,7.3,1.1,1.5,.696,0.0,0.0,,1.1,1.5,.696,.696,0.2,0.7,.273,0.7,1.4,2.1,0.2,0.1,0.4,0.3,1.1,2.3,2024
23,18,Ibou Badji,C,21,POR,21,1,10.3,0.6,1.0,.650,0.0,0.0,,0.6,1.0,.650,.650,0.3,0.6,.500,1.0,1.5,2.4,0.6,0.1,1.0,0.7,2.1,1.5,2024
24,19,Marvin Bagley III,C,24,TOT,50,25,21.1,4.8,8.2,.586,0.2,0.5,.391,4.6,7.7,.597,.597,1.9,2.5,.762,2.6,3.6,6.2,1.1,0.4,0.7,1.2,1.6,11.7,2024
25,19,Marvin Bagley III,C,24,DET,26,10,18.4,4.1,7.0,.591,0.0,0.2,.167,4.1,6.7,.606,.594,1.9,2.3,.820,1.8,2.8,4.5,1.0,0.2,0.5,1.1,1.5,10.2,2024
26,19,Marvin Bagley III,C,24,WAS,24,15,24.0,5.5,9.5,.581,0.3,0.7,.471,5.2,8.8,.590,.599,1.9,2.7,.708,3.5,4.6,8.1,1.2,0.6,0.8,1.3,1.7,13.3,2024
27,20,Amari Bailey,PG,19,CHO,8,0,3.9,0.4,1.5,.250,0.0,0.6,.000,0.4,0.9,.429,.250,0.1,0.3,.500,0.3,0.0,0.3,0.3,0.1,0.0,0.1,0.0,0.9,2024
28,21,Patrick Baldwin Jr.,SF,21,WAS,33,4,10.3,1.0,3.3,.315,0.5,2.0,.269,0.5,1.2,.390,.398,0.4,0.6,.700,0.4,2.2,2.6,0.6,0.3,0.3,0.5,1.2,3.0,2024
29,22,LaMelo Ball,PG,22,CHO,22,22,32.3,8.3,19.2,.433,3.2,9.0,.355,5.1,10.3,.500,.515,4.1,4.7,.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9,2024
30,23,Mo Bamba,C,25,PHI,53,16,13.3,1.8,3.5,.500,0.5,1.1,.400,1.3,2.4,.547,.564,0.6,0.9,.667,1.4,2.8,4.2,0.8,0.4,1.0,0.7,1.8,4.6,2024
31,24,Paolo Banchero,PF,21,ORL,74,74,34.8,8.0,17.4,.461,1.5,4.3,.351,6.5,13.1,.497,.504,4.9,6.8,.713,1.0,5.8,6.8,5.3,0.9,0.6,3.1,1.9,22.4,2024
32,25,Desmond Bane,SG,25,MEM,42,42,34.4,8.6,18.5,.464,3.3,8.6,.381,5.3,9.9,.536,.552,3.3,3.8,.870,0.9,3.5,4.4,5.5,1.0,0.5,2.7,2.9,23.7,2024
33,26,Dalano Banton,PG,24,TOT,49,8,17.7,3.3,8.0,.416,1.0,3.1,.331,2.3,5.0,.469,.480,1.5,1.9,.768,0.8,2.3,3.1,2.0,0.6,0.3,1.3,1.2,9.2,2024
34,26,Dalano Banton,PG,24,BOS,24,1,7.1,0.8,2.1,.373,0.1,0.7,.125,0.7,1.5,.486,.392,0.7,0.8,.800,0.5,1.0,1.5,0.8,0.2,0.1,0.4,0.8,2.3,2024
35,26,Dalano Banton,PG,24,POR,25,7,27.9,5.8,13.7,.423,1.9,5.4,.356,3.9,8.3,.466,.493,2.3,3.0,.760,1.0,3.6,4.6,3.1,0.9,0.6,2.1,1.5,15.8,2024
36,27,Dominick Barlow,PF,20,SAS,33,1,12.7,1.7,3.4,.496,0.1,0.3,.333,1.6,3.2,.510,.509,0.9,1.3,.690,1.4,2.1,3.4,1.1,0.4,0.4,0.3,1.4,4.4,2024
37,28,Harrison Barnes,PF,31,SAC,76,76,29.1,4.3,8.9,.479,1.9,4.7,.398,2.4,4.2,.570,.584,1.8,2.2,.804,0.8,2.1,2.9,1.2,0.6,0.1,0.7,1.2,12.2,2024
38,29,Scottie Barnes,SG,22,TOR,60,60,34.9,7.5,15.7,.475,1.7,4.9,.341,5.8,10.8,.536,.528,3.3,4.2,.781,2.4,5.9,8.2,6.1,1.3,1.5,2.8,2.0,19.9,2024
39,30,RJ Barrett,SG,23,TOT,54,54,31.5,7.3,14.9,.491,1.6,4.4,.373,5.7,10.6,.540,.546,3.4,4.8,.705,0.9,4.4,5.3,3.3,0.5,0.4,2.0,2.2,19.7,2024
