,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,62,17,.785,—,120.4,109.1,10.91,2024,Boston Celtics*
1,47,32,.595,15.0,112.7,108.1,4.28,2024,New York Knicks
2,45,35,.563,17.5,114.6,111.9,2.20,2024,Philadelphia 76ers
3,32,48,.400,30.5,110.7,113.4,-2.87,2024,Brooklyn Nets
4,25,55,.313,37.5,112.6,118.7,-6.18,2024,Toronto Raptors
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2024,Central Division
6,49,31,.613,—,119.5,116.3,2.92,2024,Milwaukee Bucks*
7,47,33,.588,2.0,112.5,110.0,2.13,2024,Cleveland Cavaliers
8,46,34,.575,3.0,122.9,120.2,2.44,2024,Indiana Pacers
9,37,42,.468,11.5,111.8,113.6,-1.94,2024,Chicago Bulls
10,13,66,.165,35.5,110.2,119.2,-8.95,2024,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2024,Southeast Division
12,46,34,.575,—,110.4,108.5,1.30,2024,Orlando Magic
13,44,36,.550,2.0,109.9,108.5,0.83,2024,Miami Heat
14,36,44,.450,10.0,118.5,120.2,-2.01,2024,Atlanta Hawks
15,20,60,.250,26.0,106.5,116.7,-10.24,2024,Charlotte Hornets
16,15,65,.188,31.0,113.5,122.9,-9.48,2024,Washington Wizards
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2024,Northwest Division
1,56,24,.700,—,114.7,109.4,5.33,2024,Denver Nuggets*
2,55,25,.688,1.0,113.1,106.3,6.72,2024,Minnesota Timberwolves*
3,55,25,.688,1.0,119.8,113.1,6.67,2024,Oklahoma City Thunder*
4,29,50,.367,26.5,115.6,120.7,-4.41,2024,Utah Jazz
5,21,58,.266,34.5,106.8,115.5,-7.98,2024,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2024,Pacific Division
7,51,29,.638,—,115.8,112.3,3.68,2024,Los Angeles Clippers*
8,47,33,.588,4.0,116.2,113.4,2.79,2024,Phoenix Suns
9,45,34,.570,5.5,116.5,115.1,2.07,2024,Sacramento Kings
10,45,35,.563,6.0,117.9,117.5,0.89,2024,Los Angeles Lakers
11,44,35,.557,6.5,118.0,115.5,2.84,2024,Golden State Warriors
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2024,Southwest Division
13,50,30,.625,—,118.6,115.5,3.18,2024,Dallas Mavericks*
14,47,32,.595,2.5,114.9,110.4,4.54,2024,New Orleans Pelicans
15,39,40,.494,10.5,114.2,113.3,1.18,2024,Houston Rockets
16,27,53,.338,23.0,105.6,112.5,-6.57,2024,Memphis Grizzlies
17,20,60,.250,30.0,111.9,118.9,-6.24,2024,San Antonio Spurs
